"Type","Op","Size","Time"
mpi_np,global_getting,16,0.000177681
mpi_np,empty,32,0.000071215
mpi_np,arange,32,0.000125326
mpi_np,local_slicing,32,0.000000941
mpi_np,local_setting,32,0.000000608
mpi_np,global_setting,32,0.000008963
mpi_np,local_getting,32,0.000000578
mpi_np,global_getting,32,0.000179044
mpi_np,empty,64,0.000075742
mpi_np,arange,64,0.000140485
mpi_np,local_slicing,64,0.000000996
mpi_np,local_setting,64,0.000000615
mpi_np,global_setting,64,0.000009009
mpi_np,local_getting,64,0.000000574
mpi_np,global_getting,64,0.000184125
mpi_np,empty,128,0.000075482
mpi_np,arange,128,0.000141247
mpi_np,local_slicing,128,0.000000960
mpi_np,local_setting,128,0.000000597
mpi_np,global_setting,128,0.000009000
mpi_np,local_getting,128,0.000000571
mpi_np,global_getting,128,0.000186586
mpi_np,empty,256,0.000075059
mpi_np,arange,256,0.000144664
mpi_np,local_slicing,256,0.000000959
mpi_np,local_setting,256,0.000000604
mpi_np,global_setting,256,0.000009066
mpi_np,local_getting,256,0.000000576
mpi_np,global_getting,256,0.000184383
mpi_np,empty,512,0.000076194
mpi_np,arange,512,0.000142930
mpi_np,local_slicing,512,0.000001005
mpi_np,local_setting,512,0.000000610
mpi_np,global_setting,512,0.000008853
mpi_np,local_getting,512,0.000000582
mpi_np,global_getting,512,0.000184854
mpi_np,empty,1024,0.000075465
mpi_np,arange,1024,0.000146470
mpi_np,local_slicing,1024,0.000000985
mpi_np,local_setting,1024,0.000000604
mpi_np,global_setting,1024,0.000009012
mpi_np,local_getting,1024,0.000000585
mpi_np,global_getting,1024,0.000185026
mpi_np,empty,2048,0.000075630
mpi_np,arange,2048,0.000152001
mpi_np,local_slicing,2048,0.000000943
mpi_np,local_setting,2048,0.000000596
mpi_np,global_setting,2048,0.000008957
mpi_np,local_getting,2048,0.000000572
mpi_np,global_getting,2048,0.000184690
